,r,theta
0,0.22715185045761038,0.47713435226933837
1,0.1720794379338912,0.578283761057854
2,0.13127372643077836,0.7235877333788934
3,0.12504831951901002,0.7570698318161729
4,0.13484427837619356,0.7827901998280883
5,0.13761344369653442,0.7563072178461431
6,0.1320081207703676,0.780635483878846
7,0.12474891587037999,0.7751630325660965
8,0.12605973593423342,0.7800287169007094
9,0.12688270352994557,0.7724959363196063
10,0.13053122731284167,0.7772203050847138
11,0.12835746768544576,0.7768357018899298
12,0.12796300394031115,0.7641069652190048
13,0.13205975522734786,0.7602730353586993
14,0.13009145153755539,0.7609756819811891
15,0.13147687087768473,0.7490622770476992
16,0.1160444665263244,0.7715973605355867
17,0.1132204924917713,0.8681698191232029
18,0.11408200366735013,0.9023476852732621
19,0.09991005669890679,0.9670013146997944
20,0.10267717451762393,0.7378009593138829
21,0.10691313584548334,0.6560898928917231
22,0.0779591469868555,0.8728947455286353
23,0.06752177552003175,0.8127657016678749
24,0.056798929618893025,0.9914542979019092
25,0.04787692564568711,1.0999758052731772
26,0.06504273828226917,0.955123759281613
27,0.06908900976970651,0.9351785049554262
28,0.06685262017989724,0.9749293613272642
29,0.0734015439020829,0.9746453149459642
30,0.07549162383523184,0.9440295655592176
31,0.07485160430248448,0.9634347771849334
32,0.07803746694870273,0.9746461279793154
33,0.07563661987785181,0.969535974471013
34,0.07146334776157756,1.0742409120048344
35,0.07533283875213169,1.1028234704796165
36,0.12625780235875048,0.622142110760351
37,0.1281229294196259,0.7817041395544467
38,0.12527599760413363,0.9042518972521915
39,0.13196824561412185,0.8387602129893573
40,0.13682488951924296,0.8852990873986454
41,0.14315515275328164,0.9132330216762287
42,0.1417395331493461,0.842151548418223
43,0.14310670339753423,0.8490308518709456
44,0.1461967539562876,0.8123058020520079
45,0.13287806687900827,0.7928131134860008
46,0.12408043592143542,0.6930905368934759
47,0.1257036771156391,0.6651431807344707
48,0.10303467634455105,0.710897067927029
49,0.10074842345933244,0.7632456668164707
50,0.09889624899177055,0.5596577865923752
51,0.0695709325375007,0.7069911573921422
52,0.06302645114536586,0.9371608176133657
53,0.06533813561672512,0.897814317184892
54,0.06623462518542654,0.8451663487926416
55,0.06675713667989425,0.8396152924681877
56,0.0704940675487829,0.8398446579179875
57,0.07640483284694927,1.1001773570803743
58,0.07504856741077445,1.0311083854389957
59,0.1384283576255849,0.927957834227668
60,0.17596932920602357,0.8761575875493492
61,0.18962751618771498,0.8094207067211949
62,0.19728851431714287,0.8689269623825079
63,0.20180627980778534,0.8657078543142009
64,0.21652738847336503,0.7889450812853073
65,0.21879378491853133,0.7907290185635464
66,0.20254598261875628,0.7537841995195901
67,0.18828248800067657,0.7497827893410899
68,0.17091596678511364,0.8820944927676935
69,0.18154930137565997,0.7862882378734273
70,0.17011011764897652,0.7818487601840621
71,0.1477485198288832,0.7232118923210398
72,0.14452774891384684,0.7136796822499364
73,0.14369892427561165,0.7063337587104117
74,0.10737709714643083,0.7547035613134434
75,0.07897400801776928,1.277009514512433
76,0.08261630413240723,1.477868384592741
77,0.07741073950517718,1.5657491976107807
78,0.07660667154476856,1.5965593820103914
79,0.0719588634600183,1.5680658389699065
80,0.06993560534221348,1.5537094862712972
81,0.12847017603513705,1.20463652279862
82,0.1504279263851422,1.0103800257475746
83,0.15647610260520542,0.8104329627324253
84,0.16188407888922535,0.894707389904877
85,0.1559268270787268,0.812963381467165
86,0.16302358020762286,0.7767437001467716
87,0.18499128198525397,0.7736628524528748
88,0.18649172374188744,0.8076970630527066
89,0.22627731311044522,0.7495038777181628
90,0.2384989148581459,0.7121594715769933
91,0.23731159174858715,0.7423565999065853
92,0.23490403047770206,0.7519927764611722
93,0.2388214704663098,0.6978659587599235
94,0.23245124716840945,0.6868503180523686
95,0.2278584243615311,0.7043877161349132
96,0.20030711365596962,0.6386170145721706
97,0.18471366500342518,0.5513911313638031
98,0.17186028605405165,0.6120912692995963
99,0.1801981615264424,0.5756751019580324
100,0.16251257088605978,0.55102337333997
101,0.1547795869479579,0.5668509800572532
102,0.14819462117699767,0.5958450763388746
103,0.1051454330388919,0.5740812115192181
104,0.043566535838622536,0.7642941552190414
105,0.03348532921125203,0.6891202834250862
106,0.014081167730490696,0.9616510757659165
107,0.01563216407258168,2.1710415516786394
108,0.015140606003080427,2.1667303938159765
109,0.03756932475987403,2.4994572599363583
110,0.03826292572389087,2.2807798861493445
111,0.09096029383087377,0.6280005631843705
112,0.0670732479700904,1.0769047566382
113,0.0657929872611661,1.2578284995708524
114,0.0633017684652699,1.2215265541492746
115,0.06084059527594762,1.2414438346363939
116,0.06589004946770473,1.2051779989808056
117,0.06822444137586532,1.2230689740950247
118,0.06867889504995506,1.2324515768127076
119,0.07178082615133684,1.1963287221794419
120,0.06847210439956429,1.2159320644336713
121,0.06771203705679234,1.1519040826763725
122,0.07020037190189232,1.1812334110826495
123,0.06969109536474649,1.1828071103267697
124,0.06978912979435759,1.1880579838911844
125,0.06897869595589791,1.1790741689971171
126,0.07069645839541122,1.1448478922042016
127,0.06970366135558433,1.1246817967649192
128,0.06288169589421863,1.1545847066612172
129,0.06867589202404545,1.142134229695515
130,0.09678397769731198,1.0194075286240618
131,0.09529893308600461,0.9289091461595228
132,0.08463568854594937,0.9468195468154997
133,0.08750603905834209,0.8893220197302445
134,0.09202971435563144,0.9113496490186912
135,0.09111184670178248,0.8822420221742745
136,0.09112233845720213,0.8850369735989176
137,0.09382466394029766,0.8587187596904549
138,0.09586237815220137,0.784256422725681
